,puzzle_img_path,position_normalized
0,./pieces/puzzle642074098.png,0.0625
0,./pieces/puzzle427631072.png,0.125
0,./pieces/puzzle345729750.png,0.1875
0,./pieces/puzzle432908733.png,0.25
0,./pieces/puzzle914597912.png,0.3125
0,./pieces/puzzle221359185.png,0.375
0,./pieces/puzzle172989137.png,0.4375
0,./pieces/puzzle833343285.png,0.5
0,./pieces/puzzle708953143.png,0.5625
0,./pieces/puzzle373981264.png,0.625
0,./pieces/puzzle719998413.png,0.6875
0,./pieces/puzzle516676580.png,0.75
0,./pieces/puzzle273900174.png,0.8125
0,./pieces/puzzle501020676.png,0.875
0,./pieces/puzzle764141264.png,0.9375
0,./pieces/puzzle679414174.png,1.0
0,./pieces/puzzle888026911.png,0.0625
0,./pieces/puzzle620619728.png,0.125
0,./pieces/puzzle832886640.png,0.1875
0,./pieces/puzzle603158878.png,0.25
0,./pieces/puzzle984054284.png,0.3125
0,./pieces/puzzle126342109.png,0.375
0,./pieces/puzzle388282253.png,0.4375
0,./pieces/puzzle521482870.png,0.5
0,./pieces/puzzle856238207.png,0.5625
0,./pieces/puzzle705161155.png,0.625
0,./pieces/puzzle947875347.png,0.6875
0,./pieces/puzzle792980543.png,0.75
0,./pieces/puzzle455246903.png,0.8125
0,./pieces/puzzle169441707.png,0.875
0,./pieces/puzzle600818231.png,0.9375
0,./pieces/puzzle805646750.png,1.0
0,./pieces/puzzle566696210.png,0.0277777777777777
0,./pieces/puzzle487857719.png,0.0555555555555555
0,./pieces/puzzle139025577.png,0.0833333333333333
0,./pieces/puzzle963726804.png,0.1111111111111111
0,./pieces/puzzle985565724.png,0.1388888888888889
0,./pieces/puzzle874730913.png,0.1666666666666666
0,./pieces/puzzle706768127.png,0.1944444444444444
0,./pieces/puzzle432569893.png,0.2222222222222222
0,./pieces/puzzle436885478.png,0.25
0,./pieces/puzzle808681318.png,0.2777777777777778
0,./pieces/puzzle540912301.png,0.3055555555555556
0,./pieces/puzzle826059185.png,0.3333333333333333
0,./pieces/puzzle54288169.png,0.3611111111111111
0,./pieces/puzzle469172199.png,0.3888888888888889
0,./pieces/puzzle17344693.png,0.4166666666666667
0,./pieces/puzzle142175223.png,0.4444444444444444
0,./pieces/puzzle577751046.png,0.4722222222222222
0,./pieces/puzzle788150296.png,0.5
0,./pieces/puzzle995227077.png,0.5277777777777778
0,./pieces/puzzle490303491.png,0.5555555555555556
0,./pieces/puzzle507954622.png,0.5833333333333334
0,./pieces/puzzle857294153.png,0.6111111111111112
0,./pieces/puzzle331537339.png,0.6388888888888888
0,./pieces/puzzle78493795.png,0.6666666666666666
0,./pieces/puzzle226074495.png,0.6944444444444444
0,./pieces/puzzle174359370.png,0.7222222222222222
0,./pieces/puzzle799641880.png,0.75
0,./pieces/puzzle254130888.png,0.7777777777777778
0,./pieces/puzzle365301854.png,0.8055555555555556
0,./pieces/puzzle988216042.png,0.8333333333333334
0,./pieces/puzzle334261456.png,0.8611111111111112
0,./pieces/puzzle103109254.png,0.8888888888888888
0,./pieces/puzzle310077659.png,0.9166666666666666
0,./pieces/puzzle247549187.png,0.9444444444444444
0,./pieces/puzzle179814331.png,0.9722222222222222
0,./pieces/puzzle905797891.png,1.0
0,./pieces/puzzle776729434.png,0.04
0,./pieces/puzzle781171203.png,0.08
0,./pieces/puzzle119648404.png,0.12
0,./pieces/puzzle825827150.png,0.16
0,./pieces/puzzle804939501.png,0.2
0,./pieces/puzzle851880424.png,0.24
0,./pieces/puzzle913449265.png,0.28
0,./pieces/puzzle13377392.png,0.32
0,./pieces/puzzle19328138.png,0.36
0,./pieces/puzzle280090558.png,0.4
0,./pieces/puzzle490175698.png,0.44
0,./pieces/puzzle869382089.png,0.48
0,./pieces/puzzle512587941.png,0.52
0,./pieces/puzzle995844741.png,0.56
0,./pieces/puzzle368947532.png,0.6
0,./pieces/puzzle289166028.png,0.64
0,./pieces/puzzle113034727.png,0.68
0,./pieces/puzzle886472643.png,0.72
0,./pieces/puzzle386133008.png,0.76
0,./pieces/puzzle255559961.png,0.8
0,./pieces/puzzle75919572.png,0.84
0,./pieces/puzzle332303105.png,0.88
0,./pieces/puzzle500485380.png,0.92
0,./pieces/puzzle784503420.png,0.96
0,./pieces/puzzle987281527.png,1.0
0,./pieces/puzzle345508975.png,0.0277777777777777
0,./pieces/puzzle23256998.png,0.0555555555555555
0,./pieces/puzzle843655622.png,0.0833333333333333
0,./pieces/puzzle302597807.png,0.1111111111111111
0,./pieces/puzzle546899833.png,0.1388888888888889
0,./pieces/puzzle444596888.png,0.1666666666666666
0,./pieces/puzzle969150395.png,0.1944444444444444
0,./pieces/puzzle512651027.png,0.2222222222222222
0,./pieces/puzzle321908320.png,0.25
0,./pieces/puzzle702231230.png,0.2777777777777778
0,./pieces/puzzle849101418.png,0.3055555555555556
0,./pieces/puzzle657267533.png,0.3333333333333333
0,./pieces/puzzle871221415.png,0.3611111111111111
0,./pieces/puzzle183587474.png,0.3888888888888889
0,./pieces/puzzle590597394.png,0.4166666666666667
0,./pieces/puzzle43308092.png,0.4444444444444444
0,./pieces/puzzle176283046.png,0.4722222222222222
0,./pieces/puzzle816689000.png,0.5
0,./pieces/puzzle898613460.png,0.5277777777777778
0,./pieces/puzzle302617857.png,0.5555555555555556
0,./pieces/puzzle779523573.png,0.5833333333333334
0,./pieces/puzzle692171137.png,0.6111111111111112
0,./pieces/puzzle770139505.png,0.6388888888888888
0,./pieces/puzzle383723236.png,0.6666666666666666
0,./pieces/puzzle579345826.png,0.6944444444444444
0,./pieces/puzzle189620645.png,0.7222222222222222
0,./pieces/puzzle597566701.png,0.75
0,./pieces/puzzle329405035.png,0.7777777777777778
0,./pieces/puzzle983618401.png,0.8055555555555556
0,./pieces/puzzle135852318.png,0.8333333333333334
0,./pieces/puzzle992357995.png,0.8611111111111112
0,./pieces/puzzle322482617.png,0.8888888888888888
0,./pieces/puzzle196069038.png,0.9166666666666666
0,./pieces/puzzle227566126.png,0.9444444444444444
0,./pieces/puzzle239867003.png,0.9722222222222222
0,./pieces/puzzle35120716.png,1.0
0,./pieces/puzzle821411618.png,0.0625
0,./pieces/puzzle862714057.png,0.125
0,./pieces/puzzle272173442.png,0.1875
0,./pieces/puzzle707344228.png,0.25
0,./pieces/puzzle501183388.png,0.3125
0,./pieces/puzzle554627508.png,0.375
0,./pieces/puzzle380815162.png,0.4375
0,./pieces/puzzle889225010.png,0.5
0,./pieces/puzzle368477100.png,0.5625
0,./pieces/puzzle214849062.png,0.625
0,./pieces/puzzle970783044.png,0.6875
0,./pieces/puzzle298299708.png,0.75
0,./pieces/puzzle525345827.png,0.8125
0,./pieces/puzzle253519388.png,0.875
0,./pieces/puzzle143192544.png,0.9375
0,./pieces/puzzle291246962.png,1.0
0,./pieces/puzzle224790816.png,0.0625
0,./pieces/puzzle523932042.png,0.125
0,./pieces/puzzle403941435.png,0.1875
0,./pieces/puzzle106812276.png,0.25
0,./pieces/puzzle814403438.png,0.3125
0,./pieces/puzzle110644722.png,0.375
0,./pieces/puzzle821464710.png,0.4375
